"81A944 AUTOMATED HEALTH SYSTEMS "
Date Range :	11/14/2024 - 09/19/2025
"
"
"
"
Activity Date,Activity,Fund,Money Source,"# of Units",Unit Price,Amount
2025-09-18,TRANSFER,3214 Voya Index Solution 2060 Portfolio Z,Safe Harbor Match,-117.4882,24.835156,-2917.84
2025-09-18,TRANSFER,3214 Voya Index Solution 2060 Portfolio Z,Employee PreTax,-166.8426,24.835156,-4143.56
2025-09-18,TRANSFER,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,74.8046,39.006156,2917.84
2025-09-18,TRANSFER,0899 Vanguard 500 Index Fund Adm,Employee PreTax,106.2284,39.006156,4143.56
2025-09-15,TRANSFER,4062 Voya Fixed Account (4062),Safe Harbor Match,-2.2227,25.415789,-56.49
2025-09-15,TRANSFER,4062 Voya Fixed Account (4062),Employee PreTax,-3.156,25.415789,-80.21
2025-09-15,TRANSFER,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,-1.9845,28.311058,-56.18
2025-09-15,TRANSFER,6595 Victory Sycmr Established Value F R6,Employee PreTax,-2.8181,28.311058,-79.78
2025-09-15,TRANSFER,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,-5.7837,10.01289,-57.91
2025-09-15,TRANSFER,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,-8.2133,10.01289,-82.24
2025-09-15,TRANSFER,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,-3.7428,39.427409,-147.57
2025-09-15,TRANSFER,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,-5.3159,39.427409,-209.59
2025-09-15,TRANSFER,1990 American Funds Wash Mutual Inv R6,Safe Harbor Match,-11.0147,47.215926,-520.07
2025-09-15,TRANSFER,1990 American Funds Wash Mutual Inv R6,Employee PreTax,-15.641,47.215926,-738.5
2025-09-15,TRANSFER,1899 American Funds New Perspective R6,Safe Harbor Match,-11.8847,44.002143,-522.95
2025-09-15,TRANSFER,1899 American Funds New Perspective R6,Employee PreTax,-16.8767,44.002143,-742.61
2025-09-15,TRANSFER,1723 American Funds EUPAC Fund R6,Safe Harbor Match,-37.9844,23.115838,-878.04
2025-09-15,TRANSFER,1723 American Funds EUPAC Fund R6,Employee PreTax,-53.9422,23.115838,-1246.92
2025-09-15,TRANSFER,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,-7.5028,38.908604,-291.92
2025-09-15,TRANSFER,0899 Vanguard 500 Index Fund Adm,Employee PreTax,-10.6548,38.908604,-414.56
2025-09-15,TRANSFER,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,-15.0619,25.175784,-379.2
2025-09-15,TRANSFER,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,-21.3891,25.175784,-538.49
2025-09-15,TRANSFER,3214 Voya Index Solution 2060 Portfolio Z,Safe Harbor Match,117.4882,24.77125,2910.33
2025-09-15,TRANSFER,3214 Voya Index Solution 2060 Portfolio Z,Employee PreTax,166.8426,24.77125,4132.9
2025-09-05,CONTRIBUTION,4062 Voya Fixed Account (4062),Safe Harbor Match,0.0457,25.405424,1.16
2025-09-05,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.0404,28.462547,1.15
2025-09-05,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.1172,9.895863,1.16
2025-09-05,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0729,39.772276,2.9
2025-09-05,CONTRIBUTION,1990 American Funds Wash Mutual Inv R6,Safe Harbor Match,0.2237,46.538299,10.41
2025-09-05,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.242,43.063286,10.42
